sno.,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
570,Western,Gujarat,Ahmedabad,"Hernandez, Gardner and Robinson Park",Tomb,1669,5,3.6,30,Yes,Wednesday,Historical,Yes,4.4,Morning
571,Southern,Karnataka,Bengaluru,"Willis, Bartlett and Caldwell Fort",Fort,1527,6,3.7,10,Yes,Saturday,Cultural,Yes,2.7,Summer
572,Northern,Uttar Pradesh,Agra,"Crosby, Chambers and Walker Fort",Sanctuary,1788,3,3.5,30,Yes,Friday,Environmental,No,0.9,Evening
573,Eastern,West Bengal,Kolkata,"Martinez, Bates and Mitchell Memorial",Temple,1899,4,4.7,50,Yes,Tuesday,Cultural,Yes,2.4,Morning
574,North-Eastern,Assam,Guwahati,Evans-Terry Park,Zoo,1707,1,4.8,100,Yes,Wednesday,Cultural,No,0.1,Morning
575,Central,Madhya Pradesh,Bhopal,Roberts-Dudley Fort,Sanctuary,1915,5,3.6,20,Yes,Wednesday,Historical,No,1.2,Evening
576,Eastern,West Bengal,Kolkata,Valenzuela-Bowers Fort,Zoo,1502,4,3.7,0,Yes,Monday,Natural,No,3.9,Winter
577,Eastern,Odisha,Bhubaneswar,Fox Group Temple,Tomb,1834,2,4.3,100,Yes,None,Architectural,Yes,0.1,Winter
578,Western,Maharashtra,Mumbai,Hernandez Ltd Temple,Fort,1908,3,5,10,Yes,Wednesday,Cultural,No,1.2,Evening
579,North-Eastern,Assam,Guwahati,Brewer PLC Park,Temple,1615,6,4.3,10,Yes,Wednesday,Natural,Yes,3.8,Summer
580,North-Eastern,Meghalaya,Shillong,Holloway-Robinson Museum,Temple,1520,6,4.9,30,Yes,Saturday,Natural,No,0.2,Afternoon
581,Southern,Karnataka,Bengaluru,"Castillo, Perez and Hernandez Museum",Fort,1812,5,4.2,0,Yes,Monday,Religious,Yes,1.4,Morning
582,Southern,Karnataka,Bengaluru,"Noble, Juarez and Gross Temple",Fort,1924,3,3.9,50,Yes,None,Cultural,Yes,0.3,Summer
583,Southern,Tamil Nadu,Chennai,"Obrien, Jones and Maldonado Memorial",Zoo,1804,6,4.8,20,Yes,Thursday,Architectural,No,0.2,Winter
584,Northern,Punjab,Amritsar,Brennan-Young Fort,Fort,1720,3,4.2,0,Yes,Thursday,Natural,Yes,0.6,Summer
585,Northern,Uttar Pradesh,Agra,Wallace-Mitchell Memorial,Tomb,1982,5,4.9,50,Yes,Tuesday,Architectural,Yes,4.7,Winter
586,Eastern,Odisha,Bhubaneswar,Hill Ltd Temple,Lake,1538,2,3.7,0,Yes,Tuesday,Architectural,Yes,3.6,Afternoon
587,Eastern,Odisha,Bhubaneswar,Owens Inc Temple,Hill Station,1680,2,4.7,0,Yes,Friday,Architectural,No,2.3,Winter
588,North-Eastern,Assam,Guwahati,"Welch, Elliott and Henry Fort",Museum,1561,5,4,100,Yes,Thursday,Architectural,Yes,4.2,Morning
589,Western,Gujarat,Ahmedabad,"Hanna, Murray and Williams Temple",Tomb,1614,5,4,20,Yes,Friday,Religious,Yes,4,Summer
590,North-Eastern,Assam,Guwahati,Campbell Ltd Memorial,Tomb,1786,1,4.1,50,Yes,Monday,Architectural,No,0.1,Evening
591,Northern,Uttar Pradesh,Agra,"Robinson, Rose and Graham Fort",Fort,1568,1,4.5,50,Yes,Monday,Religious,No,1.4,Afternoon
592,Eastern,West Bengal,Kolkata,Simon-Huff Park,Theme Park,1748,4,5,20,Yes,Thursday,Cultural,No,3.9,Evening
593,North-Eastern,Assam,Guwahati,"Blackburn, Rogers and Wood Fort",Sanctuary,1627,1,3.7,30,No,Saturday,Architectural,No,4.3,Afternoon
594,Southern,Karnataka,Bengaluru,"Kelly, Hernandez and Hayes Memorial",Theme Park,1938,6,4.8,10,Yes,Saturday,Architectural,Yes,1.7,Winter
595,Southern,Karnataka,Bengaluru,"Jones, Smith and Rice Temple",Zoo,1656,2,4.9,0,Yes,Friday,Religious,Yes,3.4,Summer
596,North-Eastern,Meghalaya,Shillong,Wood Ltd Park,Museum,1906,2,4.1,50,Yes,Wednesday,Natural,No,2.5,Morning
597,Western,Rajasthan,Jaipur,"Day, Bennett and Nelson Park",Tomb,1811,1,4.4,0,Yes,Tuesday,Religious,No,1.5,Morning
598,Northern,Punjab,Amritsar,Mckenzie LLC Park,Hill Station,2014,1,3.8,10,Yes,Saturday,Natural,No,3.2,Evening
599,Central,Madhya Pradesh,Bhopal,"Fry, Carroll and Kelly Museum",Zoo,1855,5,3.7,20,Yes,Thursday,Environmental,Yes,4.7,Winter
600,Central,Madhya Pradesh,Bhopal,Martin-Robertson Temple,Museum,1505,6,3.9,0,Yes,Sunday,Religious,No,4.7,Evening
601,Eastern,West Bengal,Kolkata,Jenkins-Webb Fort,War Memorial,1893,4,3.8,50,Yes,Thursday,Architectural,No,3.5,Evening
602,Central,Madhya Pradesh,Bhopal,Miller-Allen Park,Fort,1969,5,4.2,10,Yes,Monday,Historical,No,1.6,Summer
603,Southern,Kerala,Kochi,Gross Group Temple,Temple,1897,5,3.6,30,Yes,Saturday,Architectural,Yes,4.1,Afternoon
604,Central,Madhya Pradesh,Bhopal,Lee LLC Fort,Sanctuary,1751,6,4.1,0,Yes,Wednesday,Architectural,No,3.1,Afternoon
605,North-Eastern,Meghalaya,Shillong,Clements LLC Memorial,Hill Station,1788,6,4.6,0,Yes,Saturday,Historical,Yes,3.9,Afternoon
606,Eastern,Odisha,Bhubaneswar,Fletcher-Davis Museum,Hill Station,1993,1,4.9,50,Yes,Friday,Environmental,Yes,1.6,Afternoon
607,Western,Maharashtra,Mumbai,Rogers-Hughes Fort,Temple,1866,1,4.5,0,Yes,None,Historical,Yes,0.9,Afternoon
608,North-Eastern,Meghalaya,Shillong,Parker-Humphrey Fort,Sanctuary,1684,3,4.4,0,Yes,Thursday,Religious,No,4.6,Afternoon
609,Northern,Uttar Pradesh,Agra,Martin Ltd Park,Sanctuary,1962,3,4.4,100,Yes,Sunday,Religious,Yes,1.8,Winter
610,Southern,Tamil Nadu,Chennai,Martin-Jefferson Memorial,Museum,1652,6,4,0,Yes,Saturday,Historical,Yes,4.6,Summer
611,Northern,Punjab,Amritsar,"Wilson, Garcia and Phillips Temple",Lake,1636,2,3.9,50,Yes,None,Natural,No,2.1,Summer
612,Northern,Uttar Pradesh,Agra,Washington and Sons Park,Tomb,1820,3,4.5,100,Yes,None,Environmental,Yes,1.1,Summer
613,Northern,Uttar Pradesh,Agra,Kelly PLC Museum,Tomb,1657,4,4.5,50,Yes,Monday,Architectural,No,0.8,Winter
614,Southern,Tamil Nadu,Chennai,"Flynn, Espinoza and Henson Park",Hill Station,1709,2,4.4,30,Yes,Thursday,Natural,No,3.6,Winter
615,Eastern,Odisha,Bhubaneswar,Holland and Sons Museum,Lake,1967,2,4.4,100,Yes,Tuesday,Cultural,No,2.6,Winter
616,Central,Madhya Pradesh,Bhopal,Lopez-Mcfarland Fort,Sanctuary,1606,3,3.6,10,Yes,Wednesday,Environmental,No,2.6,Winter
617,Eastern,Odisha,Bhubaneswar,Peterson-Peters Park,Temple,1910,6,4.2,0,Yes,Monday,Natural,Yes,4,Winter
618,Western,Maharashtra,Mumbai,"Bailey, Thomas and Richards Temple",Temple,1619,4,4.5,0,Yes,Wednesday,Religious,No,3.5,Afternoon
619,Central,Madhya Pradesh,Bhopal,Ferguson Group Fort,Lake,1948,3,3.8,100,Yes,Monday,Architectural,Yes,1.4,Afternoon
620,Northern,Punjab,Amritsar,"Sanchez, Valdez and Ramos Memorial",Hill Station,1989,1,4.9,10,Yes,Wednesday,Cultural,No,3.1,Evening
621,Northern,Uttar Pradesh,Agra,Odom Inc Temple,Lake,1669,6,4.7,10,Yes,Wednesday,Architectural,No,3.7,Morning
622,Northern,Delhi,Delhi,"Daniels, Lawson and Hart Museum",Lake,1527,2,4.2,50,Yes,Wednesday,Historical,Yes,2.3,Morning
623,Central,Madhya Pradesh,Bhopal,Perez Group Park,Hill Station,1734,5,3.9,0,Yes,Sunday,Historical,No,3,Morning
624,Southern,Kerala,Kochi,Dennis Ltd Memorial,War Memorial,1776,2,4.1,30,No,Thursday,Architectural,No,1,Summer
625,North-Eastern,Meghalaya,Shillong,Sanders Inc Fort,War Memorial,1807,3,4.1,100,Yes,Thursday,Environmental,No,4.8,Winter
626,Central,Madhya Pradesh,Bhopal,Clayton Ltd Temple,Temple,1981,6,4.8,50,Yes,None,Cultural,No,4.1,Afternoon
627,Southern,Kerala,Kochi,Farmer PLC Temple,Theme Park,1842,1,5,50,Yes,Monday,Religious,Yes,1.4,Morning
628,Southern,Tamil Nadu,Chennai,"Bender, Wilson and Ortega Memorial",Museum,1969,2,4.3,20,Yes,Thursday,Natural,Yes,2.9,Summer
629,North-Eastern,Assam,Guwahati,"Robertson, Morgan and Gonzalez Museum",Tomb,1728,5,3.7,0,Yes,Thursday,Environmental,No,2.4,Evening
630,Western,Maharashtra,Mumbai,"Davis, Miller and Solis Museum",Tomb,1957,6,4.5,10,Yes,Monday,Architectural,No,0.8,Summer
631,Eastern,Odisha,Bhubaneswar,Gonzalez-Osborne Memorial,Theme Park,1693,2,4.8,50,Yes,None,Historical,No,1.9,Evening
632,Northern,Uttar Pradesh,Agra,Pierce-Gomez Temple,Museum,1518,6,4.6,20,Yes,None,Natural,Yes,4.4,Morning
633,Southern,Kerala,Kochi,"Edwards, Medina and Gordon Memorial",Temple,1573,3,4.2,50,Yes,Monday,Environmental,No,0.8,Morning
634,Northern,Delhi,Delhi,"Diaz, Vaughan and Mills Museum",Theme Park,1869,2,4.4,50,Yes,Sunday,Architectural,Yes,2.2,Evening
635,Southern,Tamil Nadu,Chennai,"Duarte, Cunningham and Wagner Museum",Hill Station,1844,5,3.7,20,No,Friday,Natural,No,4.2,Evening
636,Western,Gujarat,Ahmedabad,Serrano and Sons Park,Hill Station,1564,5,4.7,0,Yes,Wednesday,Architectural,No,2.9,Morning
637,Northern,Uttar Pradesh,Agra,"Watkins, Johnson and Jones Memorial",War Memorial,1697,1,3.7,30,Yes,Saturday,Architectural,No,2.5,Evening
638,Eastern,Odisha,Bhubaneswar,Steele LLC Fort,Tomb,1800,3,4.4,10,Yes,Friday,Environmental,No,2.6,Winter
639,Eastern,West Bengal,Kolkata,Hernandez Inc Museum,Sanctuary,1959,4,4.4,10,Yes,Thursday,Environmental,No,3.2,Summer
640,Eastern,Odisha,Bhubaneswar,"Pena, Boyer and Martinez Museum",Tomb,1683,2,4.2,100,Yes,Wednesday,Religious,No,4.8,Evening
641,North-Eastern,Assam,Guwahati,Miller-Lopez Fort,Lake,1644,3,4.6,50,Yes,Monday,Cultural,No,2.6,Morning
642,Southern,Karnataka,Bengaluru,Frazier-Zamora Memorial,Museum,1630,2,4.5,30,Yes,Friday,Cultural,No,4.5,Summer
643,Western,Maharashtra,Mumbai,Williams and Sons Fort,Museum,1620,5,3.7,50,Yes,Wednesday,Historical,No,3.1,Evening
644,North-Eastern,Meghalaya,Shillong,"Chavez, Nicholson and Bullock Park",Tomb,1737,1,3.6,100,No,Thursday,Architectural,Yes,3.4,Morning
645,North-Eastern,Meghalaya,Shillong,Wright-Cannon Fort,Hill Station,1993,1,3.7,0,Yes,Saturday,Religious,Yes,1.1,Summer
646,Eastern,West Bengal,Kolkata,Williams-Ritter Museum,Zoo,1693,5,4.1,20,Yes,Thursday,Religious,Yes,0.9,Summer
647,Southern,Tamil Nadu,Chennai,Black Group Memorial,Sanctuary,1680,3,4.1,10,Yes,None,Environmental,No,3.8,Morning
648,Southern,Karnataka,Bengaluru,"Pham, Simpson and Lopez Museum",Museum,1570,3,4.7,0,Yes,Monday,Environmental,Yes,0.4,Winter
649,Southern,Kerala,Kochi,"Moore, Foster and Watson Park",Tomb,1646,3,4.5,100,Yes,Wednesday,Historical,No,2,Evening
650,Eastern,West Bengal,Kolkata,Cooper-Anderson Memorial,War Memorial,1861,4,3.5,100,Yes,Saturday,Religious,No,3.8,Morning
651,Eastern,Odisha,Bhubaneswar,"Gutierrez, Jacobs and Patterson Museum",War Memorial,1630,1,3.7,50,Yes,Tuesday,Historical,Yes,1.6,Winter
652,Western,Rajasthan,Jaipur,Taylor-Young Temple,Lake,1802,4,4.1,50,Yes,Wednesday,Natural,No,3.6,Evening
653,Southern,Karnataka,Bengaluru,Wright and Sons Park,Lake,1811,6,4.3,20,Yes,Sunday,Cultural,Yes,3.8,Winter
654,Western,Gujarat,Ahmedabad,Scott-Boyd Fort,War Memorial,1842,4,4.6,30,Yes,Wednesday,Architectural,Yes,0.5,Summer
655,Southern,Tamil Nadu,Chennai,"White, Jarvis and Graves Park",Lake,2007,3,3.7,100,Yes,None,Natural,No,1.4,Winter
656,Western,Maharashtra,Mumbai,Park Inc Park,Sanctuary,1773,1,4.8,0,Yes,None,Religious,No,1,Morning
657,North-Eastern,Meghalaya,Shillong,Peters Group Park,War Memorial,1644,4,4.2,0,Yes,Wednesday,Historical,No,3.1,Morning
658,Southern,Kerala,Kochi,James-Rogers Memorial,Sanctuary,1945,2,4.7,20,Yes,None,Historical,No,4.6,Summer
659,North-Eastern,Assam,Guwahati,Elliott and Sons Fort,Hill Station,1609,2,4.2,30,Yes,Saturday,Architectural,Yes,1.8,Morning
660,Southern,Tamil Nadu,Chennai,"Vazquez, Velez and Beard Fort",Hill Station,1563,1,3.6,0,Yes,Tuesday,Historical,No,0.1,Winter
661,Eastern,Odisha,Bhubaneswar,Smith-Gonzales Museum,Temple,1620,2,4,50,Yes,Sunday,Environmental,No,2.5,Evening
662,Western,Rajasthan,Jaipur,Rodriguez-Norton Fort,Sanctuary,1903,1,4.7,100,Yes,Wednesday,Cultural,Yes,4.5,Evening
663,Western,Rajasthan,Jaipur,"Burns, Villarreal and Cohen Museum",Museum,1593,2,4.8,50,Yes,Wednesday,Architectural,No,2.7,Summer
664,North-Eastern,Assam,Guwahati,Weaver and Sons Temple,War Memorial,1945,4,4,20,Yes,Saturday,Cultural,No,4.7,Afternoon
665,Southern,Kerala,Kochi,Murphy-Cooke Park,Museum,1890,1,3.6,0,Yes,Sunday,Architectural,Yes,0.3,Winter
666,Northern,Punjab,Amritsar,Stevens-Cook Museum,Museum,1706,2,4.9,20,No,None,Natural,Yes,2,Afternoon
667,Northern,Punjab,Amritsar,"White, Garcia and Fisher Park",Museum,1765,2,3.6,0,Yes,Sunday,Historical,No,4.6,Winter
668,Central,Madhya Pradesh,Bhopal,Mcdonald-Cook Park,War Memorial,1975,3,4,100,Yes,Monday,Architectural,No,0.1,Summer
669,Northern,Uttar Pradesh,Agra,Jenkins-Ward Park,Theme Park,1936,3,4.9,100,Yes,Thursday,Historical,No,0.1,Morning
670,Central,Madhya Pradesh,Bhopal,"Crawford, Franklin and Hughes Fort",Fort,1655,1,4.9,0,Yes,Tuesday,Religious,No,0.6,Summer
671,North-Eastern,Meghalaya,Shillong,Bryant-Young Memorial,Sanctuary,2019,3,4.9,100,Yes,Friday,Historical,Yes,2.1,Summer
672,Western,Rajasthan,Jaipur,Norris-Perez Fort,Lake,1698,3,4.7,10,Yes,Monday,Environmental,Yes,3.2,Evening
673,Southern,Kerala,Kochi,"Johnson, Thomas and Torres Park",Museum,1635,4,4.3,50,Yes,Sunday,Environmental,No,0.2,Morning
674,Northern,Punjab,Amritsar,Williams Ltd Memorial,Temple,1531,5,4.9,50,Yes,Friday,Architectural,Yes,4.1,Afternoon
675,Southern,Karnataka,Bengaluru,"Parrish, Smith and Reynolds Fort",Zoo,1757,5,4.1,50,Yes,Saturday,Religious,No,1.4,Summer
676,Central,Madhya Pradesh,Bhopal,Cook-Wells Memorial,Tomb,1606,2,3.6,10,Yes,Saturday,Architectural,Yes,1.6,Summer
677,Central,Madhya Pradesh,Bhopal,Fletcher and Sons Museum,Theme Park,1665,5,3.8,10,Yes,Sunday,Religious,No,0.5,Winter
678,Northern,Uttar Pradesh,Agra,Smith and Sons Fort,Tomb,1976,2,4.3,50,No,Friday,Cultural,Yes,3.1,Morning
679,Southern,Tamil Nadu,Chennai,Bailey LLC Temple,Theme Park,1943,2,4.5,20,Yes,Saturday,Historical,No,4.5,Winter
680,Northern,Uttar Pradesh,Agra,Moore-Smith Park,War Memorial,1782,2,4.1,50,No,None,Natural,No,1.4,Morning
681,Northern,Delhi,Delhi,"Barton, Hill and Cook Museum",Tomb,1839,1,4.9,30,Yes,Tuesday,Historical,Yes,2.5,Summer
682,Northern,Punjab,Amritsar,Cline Group Fort,Zoo,1663,4,3.8,100,Yes,Saturday,Religious,No,2.7,Summer
683,Southern,Tamil Nadu,Chennai,Jones and Sons Museum,Fort,1954,4,4.3,50,Yes,Thursday,Architectural,Yes,0.8,Afternoon
684,Central,Madhya Pradesh,Bhopal,Lopez Group Temple,Zoo,1991,4,5,10,Yes,Thursday,Historical,No,3.2,Morning
685,North-Eastern,Assam,Guwahati,Turner LLC Fort,Tomb,1695,6,4.5,100,Yes,Monday,Architectural,No,4.9,Summer
686,North-Eastern,Meghalaya,Shillong,Doyle Inc Temple,Lake,2018,2,4.1,20,Yes,Sunday,Cultural,No,3,Afternoon
687,Southern,Kerala,Kochi,Owens-Hayes Park,Tomb,1545,1,5,50,Yes,None,Historical,No,2.9,Winter
688,Southern,Kerala,Kochi,"Weaver, Solis and Rogers Memorial",Sanctuary,1858,5,4.9,0,Yes,Saturday,Natural,Yes,1.1,Morning
689,Northern,Punjab,Amritsar,Brooks-Carr Temple,Hill Station,1611,6,3.7,100,Yes,Tuesday,Historical,No,2.6,Summer
690,Southern,Kerala,Kochi,"Mcclure, Bishop and Owen Memorial",Zoo,1766,4,3.6,10,No,Sunday,Architectural,No,0.9,Summer
691,North-Eastern,Assam,Guwahati,Patterson-Fields Temple,Tomb,1863,4,3.9,30,Yes,None,Cultural,Yes,1.6,Summer
692,Central,Madhya Pradesh,Bhopal,Pennington Group Memorial,Theme Park,1589,2,3.7,10,Yes,Tuesday,Architectural,No,0.9,Winter
693,North-Eastern,Meghalaya,Shillong,"Wilson, Benitez and Dixon Memorial",Museum,1541,1,4.2,100,Yes,Tuesday,Religious,Yes,3.1,Evening
694,Eastern,Odisha,Bhubaneswar,"King, Steele and Miller Museum",Theme Park,2015,2,4.4,20,Yes,Thursday,Religious,No,0.5,Summer
695,North-Eastern,Meghalaya,Shillong,Skinner-Walker Fort,Fort,1918,5,4.5,10,No,Wednesday,Cultural,No,4.5,Summer
696,Eastern,West Bengal,Kolkata,Sanchez-Lawson Museum,Hill Station,1513,1,4.1,10,No,Saturday,Historical,No,0.8,Winter
697,Central,Madhya Pradesh,Bhopal,"Jackson, Villa and Huber Memorial",War Memorial,1789,5,4.9,50,Yes,Wednesday,Environmental,No,1.1,Afternoon
698,Southern,Kerala,Kochi,Miller-Rodriguez Park,Sanctuary,1701,1,3.6,100,Yes,Friday,Religious,No,1.3,Afternoon
699,Eastern,Odisha,Bhubaneswar,Shaffer PLC Fort,Temple,1946,1,3.8,10,Yes,Saturday,Natural,No,2.1,Summer
700,Northern,Uttar Pradesh,Agra,Haynes-Dyer Memorial,Zoo,1887,4,3.8,100,Yes,Wednesday,Architectural,No,2.8,Evening
701,North-Eastern,Meghalaya,Shillong,Mcdonald-Dunn Memorial,Theme Park,1540,2,4.3,0,Yes,Tuesday,Architectural,No,1.3,Summer
702,Western,Gujarat,Ahmedabad,"Lee, Colon and Lee Museum",Tomb,1936,2,3.5,50,Yes,None,Natural,No,3.5,Winter
703,Central,Madhya Pradesh,Bhopal,"Hancock, Carter and Wiggins Park",Fort,1999,3,3.6,20,Yes,Monday,Natural,No,3.1,Summer
704,Northern,Uttar Pradesh,Agra,Hall-Rios Temple,Tomb,1519,3,4,50,No,Sunday,Architectural,No,2.1,Morning
705,Eastern,Odisha,Bhubaneswar,Fletcher-Bailey Museum,Lake,1616,1,3.8,20,No,Thursday,Architectural,No,3.2,Evening
706,Western,Maharashtra,Mumbai,Carlson Ltd Museum,Sanctuary,1774,4,4.3,100,Yes,Saturday,Cultural,No,3.3,Summer
707,North-Eastern,Meghalaya,Shillong,Park Inc Museum,Tomb,1725,1,4.5,10,Yes,Friday,Cultural,Yes,2.7,Winter
708,Northern,Punjab,Amritsar,Curtis-Gill Park,Lake,2008,4,4.4,100,Yes,Monday,Architectural,Yes,1.1,Evening
709,Northern,Delhi,Delhi,"Smith, Jenkins and Mills Museum",Sanctuary,1651,5,4.2,0,Yes,None,Architectural,No,3.7,Morning
710,Western,Rajasthan,Jaipur,Roberts-Hart Museum,Hill Station,1917,1,4.7,50,Yes,Saturday,Natural,No,4.2,Morning
711,Central,Madhya Pradesh,Bhopal,"Reid, Chapman and Gonzales Memorial",Fort,1878,5,5,30,Yes,Wednesday,Environmental,Yes,1.1,Evening
712,Eastern,West Bengal,Kolkata,Johnson PLC Museum,Hill Station,1581,1,3.8,10,Yes,Friday,Natural,Yes,1.2,Winter
713,Western,Maharashtra,Mumbai,Mathews and Sons Temple,Temple,1797,1,4.3,30,Yes,Sunday,Religious,Yes,2.4,Morning
714,Southern,Kerala,Kochi,Smith-Beltran Memorial,Temple,1943,1,3.7,30,No,Wednesday,Environmental,No,2,Morning
715,Eastern,West Bengal,Kolkata,Johnson-Anderson Fort,Zoo,1648,3,3.9,10,Yes,Tuesday,Environmental,Yes,3.6,Morning
716,North-Eastern,Meghalaya,Shillong,Barrett-Jones Memorial,Theme Park,1619,6,4,100,Yes,Thursday,Historical,Yes,1.7,Evening
717,Western,Rajasthan,Jaipur,Perry Group Park,Theme Park,1668,3,3.7,30,Yes,Thursday,Religious,Yes,0.5,Evening
718,North-Eastern,Meghalaya,Shillong,Nolan Ltd Temple,Fort,1760,5,4.5,20,Yes,None,Environmental,No,0.5,Summer
719,Southern,Tamil Nadu,Chennai,"Jennings, Levine and Hicks Temple",Fort,1519,4,4.7,50,Yes,Wednesday,Cultural,Yes,3.5,Summer
720,Central,Madhya Pradesh,Bhopal,Davis and Sons Fort,Fort,1633,6,3.5,10,Yes,Sunday,Natural,Yes,3,Afternoon
721,Eastern,West Bengal,Kolkata,"Shaffer, Anderson and Travis Park",Hill Station,1640,5,4.3,20,Yes,None,Natural,No,0.7,Evening
722,North-Eastern,Assam,Guwahati,"Frey, Compton and Gardner Fort",Tomb,1704,4,3.8,10,Yes,Saturday,Historical,No,3.3,Evening
723,North-Eastern,Meghalaya,Shillong,Rodgers Inc Park,Museum,1806,2,4.3,50,No,Saturday,Historical,Yes,4.4,Evening
724,Central,Madhya Pradesh,Bhopal,Johnson-Burns Fort,Lake,1824,4,4.3,50,Yes,Saturday,Environmental,No,0.9,Winter
725,North-Eastern,Meghalaya,Shillong,Ray-Martin Museum,Fort,1870,5,4.1,50,Yes,Tuesday,Architectural,Yes,4.2,Evening
726,North-Eastern,Assam,Guwahati,"Miller, Perez and Steele Park",Tomb,1746,3,3.9,50,No,Tuesday,Historical,Yes,0.9,Afternoon
727,Western,Maharashtra,Mumbai,"Day, Oconnor and Evans Memorial",Lake,1952,4,4.8,100,Yes,Wednesday,Cultural,Yes,4.2,Winter
728,Southern,Kerala,Kochi,Hernandez LLC Museum,Sanctuary,1691,1,3.9,100,Yes,Tuesday,Historical,Yes,4.5,Afternoon
729,Northern,Uttar Pradesh,Agra,Diaz-Romero Temple,Tomb,1526,1,4.5,10,Yes,Thursday,Environmental,No,3.6,Afternoon
730,North-Eastern,Assam,Guwahati,Rodriguez-Gordon Memorial,Hill Station,1640,2,4.8,30,No,Friday,Architectural,No,3,Winter
731,Eastern,West Bengal,Kolkata,Holland and Sons Memorial,Museum,1806,5,4.6,30,No,Monday,Cultural,Yes,2.7,Morning
732,North-Eastern,Meghalaya,Shillong,Nash PLC Park,Zoo,1896,2,4.2,30,Yes,Wednesday,Environmental,No,3.9,Evening
733,Central,Madhya Pradesh,Bhopal,"Gill, Figueroa and Brown Park",Lake,1942,2,4.9,20,No,Friday,Environmental,Yes,2.4,Summer
734,Western,Maharashtra,Mumbai,"Bradford, Wheeler and Benjamin Park",Tomb,1679,2,4.2,10,Yes,None,Historical,No,2.7,Afternoon
735,North-Eastern,Assam,Guwahati,Shea PLC Temple,Sanctuary,1809,1,3.7,50,No,Saturday,Religious,Yes,4.2,Afternoon
736,North-Eastern,Assam,Guwahati,Bradshaw Ltd Museum,Lake,1561,2,3.7,20,No,Thursday,Natural,Yes,5,Morning
737,Northern,Punjab,Amritsar,Lowe-Mueller Fort,Theme Park,1631,3,4.8,100,Yes,Wednesday,Architectural,Yes,2.3,Summer
738,Central,Madhya Pradesh,Bhopal,Mcdonald-Estrada Temple,Fort,1726,4,4.6,0,Yes,None,Natural,No,3.7,Winter
739,Eastern,West Bengal,Kolkata,Wilson Inc Park,Temple,1858,3,4.2,50,Yes,Thursday,Religious,Yes,5,Afternoon
740,Northern,Uttar Pradesh,Agra,Johnson Ltd Museum,Sanctuary,1584,6,4.6,0,Yes,Tuesday,Environmental,Yes,3,Summer
741,Eastern,West Bengal,Kolkata,"Hoffman, Fisher and Nichols Memorial",Hill Station,1619,4,5,20,Yes,Thursday,Historical,No,3.4,Afternoon
742,Central,Madhya Pradesh,Bhopal,Marks-Moore Memorial,Temple,1579,4,4.9,20,Yes,Sunday,Cultural,No,2.7,Evening
743,Eastern,West Bengal,Kolkata,Thompson PLC Park,Tomb,1518,6,3.8,0,Yes,Wednesday,Natural,No,4.2,Evening
744,Northern,Delhi,Delhi,Griffith Inc Fort,Sanctuary,1715,4,4.2,30,Yes,None,Environmental,No,1,Winter
745,Central,Madhya Pradesh,Bhopal,Hatfield-Colon Fort,Tomb,1584,4,4.4,100,Yes,Friday,Architectural,No,3.7,Morning
746,Eastern,West Bengal,Kolkata,"Griffin, Graham and Mccarthy Museum",Zoo,1965,1,3.7,50,Yes,None,Religious,Yes,2.5,Summer
747,Central,Madhya Pradesh,Bhopal,"Becker, Lin and Gates Park",Lake,1596,4,4.1,100,Yes,Wednesday,Historical,Yes,0.8,Evening
748,Eastern,Odisha,Bhubaneswar,Ortiz-Ray Memorial,Lake,1929,2,3.6,30,Yes,None,Environmental,No,0.3,Winter
749,Eastern,West Bengal,Kolkata,"Riley, Perez and Mitchell Park",Temple,1623,3,3.9,20,Yes,Tuesday,Environmental,Yes,1,Evening
750,Northern,Delhi,Delhi,"Brown, Brown and Garcia Park",Temple,1658,4,3.8,50,Yes,Friday,Cultural,No,0.9,Summer
751,Central,Madhya Pradesh,Bhopal,"Garza, Henry and Ramos Memorial",Zoo,1923,5,4.5,50,No,Friday,Environmental,No,3,Evening
752,Northern,Uttar Pradesh,Agra,"Bailey, Brown and Lee Temple",Theme Park,1893,3,4.3,100,Yes,Saturday,Religious,Yes,4.6,Morning
753,Central,Madhya Pradesh,Bhopal,Jackson-Wells Museum,Zoo,1784,1,4.6,100,Yes,Saturday,Natural,Yes,3.7,Winter
754,Western,Maharashtra,Mumbai,Franco and Sons Temple,Museum,1982,4,4.7,100,Yes,None,Environmental,No,3.1,Evening
755,Eastern,Odisha,Bhubaneswar,"Perez, Ellis and Vargas Memorial",War Memorial,1859,2,4.9,0,Yes,Friday,Cultural,Yes,2.1,Afternoon
756,North-Eastern,Meghalaya,Shillong,"Barnes, Johnson and Cooper Memorial",Hill Station,1646,4,4.2,0,Yes,Monday,Historical,No,0.4,Summer
757,Western,Maharashtra,Mumbai,Clayton Inc Museum,Museum,1546,2,4.8,30,No,Monday,Cultural,No,1.3,Afternoon
758,North-Eastern,Meghalaya,Shillong,"Henderson, Walters and Johnson Memorial",Lake,1552,2,4.7,100,Yes,None,Religious,Yes,3.4,Morning
759,Eastern,West Bengal,Kolkata,Rodriguez Ltd Park,Theme Park,1735,1,4.1,20,Yes,Wednesday,Historical,No,2.1,Summer
